iter	Passed	Remaining
422	2058	2807
423	2061	2800
424	2065	2793
425	2068	2787
426	2072	2780
427	2077	2776
428	2081	2770
429	2084	2763
430	2088	2757
431	2092	2750
432	2095	2744
433	2099	2737
434	2102	2731
435	2106	2724
436	2109	2718
437	2113	2711
438	2116	2705
439	2120	2698
440	2123	2692
441	2127	2686
442	2131	2679
443	2134	2673
444	2138	2666
445	2141	2660
446	2145	2654
447	2148	2647
448	2152	2641
449	2155	2634
450	2159	2629
451	2163	2622
452	2166	2616
453	2170	2609
454	2173	2603
455	2177	2597
456	2180	2591
457	2184	2585
458	2188	2579
459	2194	2576
460	2204	2577
461	2209	2572
462	2215	2569
463	2223	2568
464	2243	2581
465	2250	2578
466	2256	2575
467	2260	2569
468	2265	2564
469	2269	2559
470	2273	2553
471	2277	2547
472	2280	2541
473	2283	2534
474	2287	2528
475	2290	2521
476	2294	2515
477	2298	2509
478	2301	2503
479	2305	2497
480	2309	2492
481	2313	2485
482	2317	2480
483	2320	2474
484	2324	2468
485	2328	2462
486	2331	2456
487	2335	2450
488	2338	2444
489	2342	2438
490	2346	2432
491	2349	2426
492	2353	2420
493	2357	2414
494	2360	2408
495	2364	2402
496	2367	2396
497	2371	2390
498	2375	2385
499	2379	2379
500	2383	2374
501	2387	2368
502	2390	2362
503	2394	2356
504	2401	2353
505	2411	2354
506	2420	2353
507	2426	2350
508	2433	2347
509	2444	2348
510	2454	2349
511	2469	2353
512	2477	2352
513	2481	2346
514	2485	2340
515	2488	2334
516	2492	2328
517	2496	2322
518	2500	2317
519	2504	2312
520	2509	2307
521	2513	2301
522	2517	2296
523	2521	2290
524	2525	2284
525	2528	2278
526	2532	2272
527	2537	2268
528	2541	2262
529	2544	2256
530	2549	2251
531	2553	2246
532	2558	2242
533	2563	2236
534	2566	2230
535	2570	2225
536	2573	2219
537	2577	2213
538	2580	2207
539	2584	2201
540	2587	2195
541	2594	2192
542	2605	2192
543	2615	2192
544	2624	2191
545	2630	2187
546	2640	2186
547	2645	2182
548	2649	2176
549	2654	2171
550	2658	2166
551	2663	2162
552	2668	2156
553	2675	2153
554	2679	2148
555	2682	2142
556	2688	2137
557	2692	2132
558	2696	2127
559	2701	2122
560	2705	2117
561	2709	2111
562	2712	2105
563	2716	2100
564	2721	2095
565	2724	2089
566	2728	2083
567	2732	2078
568	2737	2073
569	2742	2068
570	2746	2063
571	2752	2059
572	2758	2055
573	2761	2049
574	2765	2043
575	2768	2038
576	2772	2032
577	2775	2026
578	2779	2020
579	2783	2015
580	2800	2019
581	2806	2015
582	2812	2011
583	2818	2007
584	2824	2003
585	2829	1998
586	2834	1994
587	2838	1988
588	2845	1985
589	2850	1980
590	2853	1974
591	2858	1969
592	2862	1964
593	2866	1959
594	2869	1953
595	2874	1948
596	2879	1943
597	2883	1938
598	2887	1932
599	2891	1927
600	2895	1922
601	2899	1917
602	2903	1911
603	2906	1905
604	2910	1900
605	2913	1894
606	2917	1888
607	2921	1883
608	2925	1878
609	2929	1873
610	2933	1867
611	2938	1862
612	2942	1857
613	2945	1851
614	2949	1846
615	2953	1840
616	2957	1835
617	2964	1832
618	2968	1826
619	2971	1821
620	2976	1816
621	2980	1811
622	2986	1807
623	2994	1804
624	3000	1800
625	3006	1796
626	3011	1791
627	3016	1787
628	3026	1785
629	3032	1781
630	3037	1776
631	3042	1771
632	3046	1766
633	3050	1760
634	3053	1755
635	3057	1749
636	3060	1744
