iter	RMSE
204	0.09929856297
205	0.09927191185
206	0.09924542631
207	0.0992267116
208	0.09919917974
209	0.09917210708
210	0.09911398983
211	0.09907734744
212	0.09901528327
213	0.09896495095
214	0.09894638573
215	0.09890610692
216	0.09888539301
217	0.09882713002
218	0.09877294668
219	0.09872376124
220	0.09867499252
221	0.09862439768
222	0.09860802124
223	0.09857058169
224	0.09855616485
225	0.09852162446
226	0.09849476826
227	0.09845286271
228	0.09841938929
229	0.09837595683
230	0.09834646792
231	0.09831715316
232	0.09829708632
233	0.09824407674
234	0.09821435388
235	0.09819635192
236	0.09814509677
237	0.09809459082
238	0.09807216176
239	0.0980465373
240	0.09800821906
241	0.09797818467
242	0.0979523503
243	0.09792033053
244	0.09789291429
245	0.09785341028
246	0.09783673753
247	0.09779862412
248	0.09778325638
249	0.09773916331
250	0.09771629526
251	0.09767952853
252	0.09764563567
253	0.09761105645
254	0.09757221459
255	0.09755644422
256	0.09752506848
257	0.09748754848
258	0.09745293832
259	0.09742270194
260	0.09738566408
261	0.09736134341
262	0.09733353483
263	0.09730106805
264	0.09726070298
265	0.09722591517
266	0.09719613662
267	0.09716677373
268	0.09713089874
269	0.09710999905
270	0.09707335851
271	0.0970544736
272	0.09702433867
273	0.09698197373
274	0.09695454201
275	0.09694405585
276	0.09691344809
277	0.09689843515
278	0.09686680296
279	0.09683654617
280	0.09679988522
281	0.09677126252
282	0.0967345407
283	0.09670192535
284	0.09668376821
285	0.09665520281
286	0.09663340977
287	0.09659369094
288	0.09655164295
289	0.09652709587
290	0.09650526217
291	0.09646361836
292	0.09643469956
293	0.09641736893
294	0.09638799352
295	0.09637086394
296	0.09634780273
297	0.09632777294
298	0.09631429503
299	0.09625887081
300	0.09622388966
301	0.09620022694
302	0.09615662949
303	0.09611858898
304	0.09609176244
305	0.09607029211
306	0.09604176032
307	0.09602584113
308	0.09600679517
309	0.09598440792
310	0.0959476362
311	0.09592566464
312	0.09588550246
313	0.09586368815
314	0.0958364955
315	0.09580979487
316	0.09578349032
317	0.09575821578
318	0.09572773048
319	0.09568457227
320	0.09567206011
321	0.09563138898
322	0.0955889482
323	0.09556299384
324	0.09552802518
325	0.09549100968
326	0.09544917265
327	0.09543153798
328	0.09540207035
329	0.09538305598
330	0.0953679166
331	0.09535181657
332	0.09532516093
333	0.09530655529
334	0.0952680585
335	0.09523598674
336	0.0952182555
337	0.09518660384
338	0.09515808712
339	0.09513873907
340	0.09511515624
341	0.0950957441
342	0.09506698395
343	0.09505122593
344	0.09502900939
345	0.09499446953
346	0.09496277029
347	0.0949247816
348	0.09490784742
349	0.0948782993
350	0.09485521123
351	0.0948330064
352	0.09479822851
353	0.09477024841
354	0.09474871375
355	0.09473290064
356	0.09471143724
357	0.0946807764
358	0.09466645028
359	0.0946556196
360	0.09463393101
361	0.09461105473
362	0.0945863615
363	0.09457106039
364	0.09453557063
365	0.09450808308
366	0.0944923004
367	0.0944727745
368	0.094449598
369	0.09441528113
370	0.0943860096
371	0.09436884826
372	0.09432253028
373	0.09429782043
374	0.09428505528
375	0.09426283067
376	0.09424087865
377	0.09421869548
378	0.09419820927
379	0.09416309071
380	0.09413950213
381	0.09412431359
382	0.09410681443
383	0.09408965246
384	0.09407792703
385	0.09406067796
386	0.09403170349
387	0.09400976006
388	0.09397096926
389	0.09393162398
390	0.09390485063
391	0.09388699064
392	0.093864196
393	0.09384590825
394	0.09381843192
395	0.09379169569
396	0.09377348798
397	0.0937478237
398	0.09373670248
399	0.09370341775
400	0.09368605865
401	0.09366938334
402	0.0936473974
403	0.09363738351
404	0.09362537857
405	0.09360134237
406	0.09358265186
407	0.09356796331
408	0.09355572675
409	0.09353810794
410	0.0935136689
411	0.09348159247
412	0.09346769777
413	0.09345089744
414	0.09343308819
415	0.09340926728
416	0.09337759174
417	0.09336758102
418	0.09333372991
419	0.09330451875
420	0.09327463933
421	0.09324643495
422	0.0932309992
423	0.09320116446
424	0.09317634345
425	0.0931497394
426	0.09312738274
427	0.0931023009
428	0.09308247082
429	0.09306379613
430	0.09303883134
431	0.09301259865
432	0.09298408098
433	0.09296412004
434	0.09293369989
435	0.09290695559
436	0.09289501535
437	0.09287252831
438	0.09285169906
439	0.09282798346
440	0.09281061072
441	0.09278554962
442	0.0927650555
443	0.09274754406
444	0.09272118869
445	0.09268268603
446	0.09266885193
447	0.09265453957
448	0.09263786562
449	0.09262382722
450	0.09260704452
451	0.09258112886
452	0.0925617785
453	0.0925441445
454	0.09252109871
455	0.09248957206
456	0.09245698877
457	0.0924367299
458	0.09242221353
459	0.09239293907
460	0.09235052037
461	0.0923362647
462	0.09231706493
463	0.09230724697
464	0.09227854507
465	0.09225657555
466	0.09222313955
467	0.09219211
468	0.09217663608
469	0.09216547966
470	0.09215030795
471	0.0921407275
472	0.09212736611
473	0.09211655458
474	0.0920940465
475	0.09207975976
476	0.09205516746
477	0.09204133227
478	0.09202046134
479	0.09199421349
480	0.09197798578
481	0.09196295359
482	0.09194287598
483	0.09192681889
484	0.09190773293
485	0.09187414134
486	0.09185921729
487	0.09184209597
488	0.09182835875
489	0.09181639585
490	0.09179379234
491	0.09177752843
492	0.09175178797
493	0.09172285333
494	0.09170091017
495	0.09168565246
496	0.09166938565
497	0.09164751475
498	0.09162375077
499	0.09160635993
500	0.09159098418
501	0.09155395793
502	0.09152175532
503	0.091508157
504	0.09148846539
505	0.09146650254
506	0.09143681346
507	0.09142547485
508	0.09141343133
509	0.09140152915
510	0.09137918219
511	0.09136952806
512	0.09134971519
513	0.09132825013
514	0.09130262862
515	0.09127978088
516	0.09125697203
517	0.09123350742
518	0.09122341901
519	0.09120203516
520	0.0911835069
521	0.09117589258
522	0.09115473607
523	0.09114331447
524	0.09113530185
525	0.09111826678
526	0.09110649391
527	0.09109667992
528	0.0910751808
529	0.09106018583
530	0.09103729247
531	0.09100953728
532	0.09099725493
533	0.09096370151
534	0.09093534481
535	0.09091722704
536	0.0909022504
537	0.09089251629
538	0.09087309822
539	0.09084687717
540	0.09082476261
541	0.09081654702
542	0.09078317995
543	0.09076658003
544	0.09074970997
545	0.09072717157
546	0.09071092371
547	0.09069807235
548	0.09067245995
549	0.09066154668
550	0.09065388252
551	0.0906300054
552	0.09061322538
553	0.09058967121
554	0.09058007025
555	0.09057330218
556	0.0905388602
557	0.0905189946
558	0.09050205211
559	0.0904927993
560	0.09047660214
561	0.09045052471
562	0.09043303336
563	0.0904013172
564	0.09039006251
565	0.09036913058
566	0.09035107172
567	0.09033254318
568	0.0903016166
569	0.09027911733
570	0.09026607808
571	0.09024389629
572	0.09021046724
573	0.09019947114
574	0.09018657564
575	0.0901677133
576	0.09015170101
577	0.09011608802
578	0.09009607453
579	0.09006326523
580	0.09002325359
581	0.09000911304
582	0.08998938316
583	0.08996106311
584	0.08993566348
585	0.08992360248
586	0.08989795785
587	0.08988870998
588	0.08987327894
589	0.08985800671
590	0.08984400403
591	0.0898194685
592	0.08978957671
593	0.08976103666
594	0.08974185581
595	0.08970964762
596	0.08970039526
597	0.08967529359
598	0.08966335015
599	0.08965150161
600	0.08963262394
601	0.08961359466
602	0.08959819774
603	0.08958665794
604	0.08957545659
605	0.08956156815
606	0.08953362775
607	0.08951974555
608	0.08949721668
609	0.08948407575
610	0.08946911655
611	0.08944707083
612	0.08943412564
613	0.08942249769
614	0.08939763278
615	0.08936750565
616	0.0893504919
617	0.08932510508
618	0.08929997287
619	0.08928872565
620	0.08926196376
621	0.08924681008
622	0.08923106412
623	0.08920823461
624	0.08919990125
625	0.08918222943
626	0.08916489716
627	0.08915005953
628	0.08912856952
629	0.089113824
630	0.08910619353
631	0.08909833599
632	0.08908867059
633	0.08907356337
634	0.0890600905
635	0.08904538392
636	0.08902096149
637	0.08899829274
638	0.08898728233
639	0.08897489659
640	0.08895362825
641	0.08893362761
642	0.08891936873
643	0.08889392003
644	0.08888527451
645	0.08886646709
646	0.08883942699
647	0.08882990381
648	0.0888078055
649	0.08878659412
650	0.0887574602
651	0.08874900705
652	0.08873394804
653	0.08870665043
654	0.08868678396
655	0.0886614156
656	0.08864112501
657	0.0886221745
658	0.08860452398
659	0.08858003876
660	0.08857031945
661	0.08855721895
662	0.08854181861
663	0.08851612536
664	0.08849514467
665	0.08848173274
666	0.0884689681
667	0.08845351351
668	0.0884323359
669	0.08841963389
670	0.08840472617
671	0.0883823982
672	0.08836176379
673	0.0883414165
674	0.08833183191
675	0.08831931447
676	0.08830772147
677	0.08828954113
678	0.08827266756
679	0.08825649023
680	0.08824424261
681	0.08823729303
682	0.08821892922
683	0.0882092543
684	0.08820096121
685	0.08818595281
686	0.08817521136
687	0.08815539055
688	0.08813948729
689	0.08812572794
690	0.08811556215
691	0.08810237753
692	0.08809584204
693	0.08807593323
694	0.08805542103
695	0.08803990774
696	0.0880244451
697	0.0880073294
698	0.08799566345
699	0.08798203907
700	0.08796559756
701	0.08795095753
702	0.08793145286
703	0.08790519234
704	0.08788143622
705	0.08787272607
706	0.08785540214
707	0.08785040705
708	0.0878313608
709	0.08781398943
710	0.08779763017
711	0.0877871677
712	0.08777195193
713	0.08775062583
714	0.08772593247
715	0.08771731509
716	0.08770326462
717	0.08768858097
718	0.08767424579
719	0.08765856167
720	0.08764072576
721	0.08762972989
722	0.08761844599
723	0.08760966863
724	0.08759744639
725	0.08758485872
726	0.08757309853
727	0.08756299038
728	0.08755049813
729	0.08753859381
730	0.08752503175
731	0.08750913451
732	0.08749112071
733	0.0874818342
734	0.0874685369
735	0.08744568264
736	0.08742885907
737	0.08741507414
738	0.08740063654
739	0.08738313198
740	0.08736398261
741	0.08735427946
742	0.08734168495
743	0.08732156912
744	0.08730534523
745	0.08728050052
746	0.0872635181
747	0.08724836461
748	0.08723476687
749	0.08722420499
750	0.08721289591
751	0.08720032979
752	0.08719013322
753	0.08717445493
754	0.0871501791
755	0.08713776039
756	0.08712954868
757	0.08711770736
758	0.08709964212
759	0.08708417691
760	0.0870681853
761	0.08705202702
762	0.0870334869
763	0.08702310613
764	0.08700649889
765	0.08699599949
766	0.08697672933
767	0.08695727014
768	0.08694613352
769	0.08692366648
770	0.08691596036
771	0.08690477545
772	0.08688582293
773	0.08686577584
774	0.0868545544
775	0.08684093883
776	0.08682149437
777	0.08680053501
778	0.08678897975
779	0.08676671755
780	0.08674942685
781	0.08672955768
782	0.08671608738
783	0.08668953637
784	0.08667497412
785	0.08665874686
786	0.08663585073
787	0.08662499873
788	0.08660630662
789	0.08659220827
790	0.08657743926
791	0.08656002375
792	0.08654810573
793	0.086529889
794	0.08650805781
795	0.0864889649
796	0.08647037961
797	0.08645258816
798	0.08643998524
799	0.08642202851
800	0.08640237794
801	0.08638988933
802	0.08636617309
803	0.08635156541
804	0.08633958435
805	0.0863255607
806	0.08630848005
807	0.08628656004
808	0.08627729451
809	0.08625081846
810	0.08622839883
811	0.08620444089
812	0.08619159823
813	0.08617307818
814	0.08615281141
815	0.08613940873
816	0.08612578388
817	0.08610867634
818	0.08609627387
819	0.08608588217
820	0.08607138447
821	0.08604413986
822	0.0860364442
823	0.08602628759
824	0.08600985412
825	0.0859978644
826	0.08598187643
827	0.08595974312
828	0.08593770176
829	0.0859218187
830	0.08590769903
831	0.0858892626
832	0.08587948516
833	0.08586777598
834	0.08585824927
835	0.08585091071
836	0.08582802376
837	0.08581760735
838	0.08579356338
839	0.08578127338
840	0.08576402343
841	0.08574879413
842	0.0857345567
843	0.08572332258
844	0.085715889
845	0.08570218371
846	0.08567387904
847	0.08566743396
848	0.08564607716
849	0.08563305743
850	0.08561913809
851	0.08561079502
852	0.08560082029
853	0.08558879956
854	0.08557145158
855	0.08555712456
856	0.08554297083
857	0.08553183215
858	0.08551270522
859	0.08550311995
860	0.08548131803
861	0.08547236176
862	0.08545979648
863	0.08544713066
864	0.08543049895
865	0.08542415839
866	0.0854181331
867	0.08540545121
868	0.08538958777
869	0.08537611373
870	0.08535897205
871	0.08535085455
872	0.08534309472
873	0.08532929457
874	0.08531960596
875	0.08530718217
876	0.08530178035
877	0.08528269285
878	0.08527145706
879	0.08525457682
880	0.08523492706
881	0.08522054078
882	0.08519957275
883	0.0851837091
884	0.08516305282
885	0.08515129977
886	0.08514523701
887	0.08513256029
888	0.08511869516
889	0.0850953449
890	0.08507862474
891	0.08506547129
892	0.08505198489
893	0.08503425043
894	0.08502664983
895	0.08501240071
896	0.08499855311
897	0.08498015594
898	0.08496596328
899	0.08495422929
900	0.08493999789
901	0.08492288624
902	0.08490443998
903	0.08489251101
904	0.08488401649
905	0.08487561844
906	0.08486854854
907	0.08485703728
908	0.08484769385
909	0.08483160129
910	0.08481860758
911	0.08480996424
912	0.08479297231
913	0.08477696162
914	0.08476795396
915	0.08475369933
916	0.08473197788
917	0.0847247789
918	0.08470803854
919	0.08468682857
920	0.08467866474
921	0.08467089938
922	0.08465674703
923	0.084648423
924	0.08463158043
925	0.08460743997
926	0.08459962396
927	0.08458161742
928	0.08456060464
929	0.08455588443
930	0.08454709885
931	0.08453771447
932	0.08453056445
933	0.08451713627
934	0.08451138523
935	0.08450055207
936	0.08449650563
937	0.08448520044
938	0.08447841515
939	0.08445773628
940	0.08444492248
941	0.0844340385
942	0.08442121332
943	0.08440894738
944	0.08439375604
945	0.0843727668
946	0.08435955736
947	0.08434787505
948	0.08433870004
949	0.08432654522
950	0.08431255283
951	0.08429854958
952	0.0842912146
953	0.08427810188
954	0.08426857383
955	0.08424405691
956	0.08422619161
957	0.08420967781
958	0.08419948437
959	0.08418916886
960	0.08417611043
961	0.08416864559
962	0.08416184413
963	0.08414534697
964	0.08413420386
965	0.08411962065
966	0.08410863213
967	0.08409512703
968	0.08408755061
969	0.08407414465
970	0.0840665597
971	0.08405017808
972	0.08403375663
973	0.0840219507
974	0.08401196469
975	0.08400512724
976	0.08398664157
977	0.08397740547
978	0.08396248403
979	0.08394867292
980	0.08393170802
981	0.08391064053
982	0.08389952514
983	0.08388797182
984	0.08387617163
985	0.08387022666
986	0.08385581857
987	0.08383492318
988	0.08382109229
989	0.08380596503
990	0.08379331075
991	0.08378344576
992	0.08377475902
993	0.08375527631
994	0.08374471391
995	0.08373242402
996	0.08372354016
997	0.08370467658
998	0.08369346404
999	0.08368008348
